Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,140.000000,141.770004,134.199997,138.449997,138.449997,4698700
2022-01-05,137.550003,139.600006,118.540001,122.410004,122.410004,8072900
2022-01-06,123.769997,125.800003,112.519997,121.500000,121.500000,6282000
2022-01-07,121.510002,132.570007,119.019997,126.699997,126.699997,6440100
2022-01-10,126.199997,137.660004,124.199997,134.990005,134.990005,6191600
2022-01-11,134.460007,134.970001,128.039993,130.679993,130.679993,4064400
2022-01-12,131.149994,135.690002,127.639999,130.169998,130.169998,3458600
2022-01-13,126.699997,128.850006,111.250000,112.379997,112.379997,7592700
2022-01-14,101.190002,112.489998,101.099998,110.820000,110.820000,9842300
2022-01-18,107.300003,107.529999,98.000000,98.440002,98.440002,6536100
2022-01-19,100.150002,103.570000,91.699997,92.330002,92.330002,6059600
2022-01-20,94.720001,98.400002,89.120003,90.360001,90.360001,7529400
2022-01-21,87.360001,91.000000,84.550003,84.650002,84.650002,5762000
2022-01-24,81.120003,81.120003,66.379997,79.470001,79.470001,12992900
2022-01-25,78.459999,87.199997,75.440002,77.209999,77.209999,7578600
2022-01-26,80.790001,87.529999,77.720001,79.180000,79.180000,8130900
2022-01-27,81.230003,81.580002,71.709999,72.919998,72.919998,4553100
2022-01-28,75.410004,83.050003,70.550003,82.919998,82.919998,7771600
2022-01-31,87.300003,94.699997,85.059998,93.699997,93.699997,10415700
2022-02-01,97.449997,98.820000,91.849998,95.180000,95.180000,7176500
2022-02-02,93.290001,94.089996,84.970001,89.440002,89.440002,6012200
2022-02-03,88.790001,92.949997,86.510002,88.489998,88.489998,4248500
2022-02-04,88.309998,91.650002,87.500000,89.330002,89.330002,3314600
2022-02-07,90.360001,101.389999,89.400002,94.800003,94.800003,6481200
2022-02-08,85.019997,87.400002,79.360001,83.449997,83.449997,9114900
2022-02-09,84.080002,92.349998,83.500000,91.790001,91.790001,5341100
2022-02-10,87.180000,95.339996,86.400002,88.000000,88.000000,4925700
2022-02-11,90.160004,94.360001,88.209999,90.440002,90.440002,4134000
2022-02-14,86.910004,88.699997,79.989998,80.110001,80.110001,5065500
2022-02-15,81.570000,88.879997,80.800003,87.129997,87.129997,4448700
2022-02-16,85.580002,86.970001,82.830002,86.550003,86.550003,3069700
2022-02-17,85.930000,88.820000,82.620003,83.440002,83.440002,2747000
